date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:32	23872/23872	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:05%20GMT	http://envato.megadrupal.com/html/gofar/destinations-list.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-list.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:35	21702/21702	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:00%20GMT	http://envato.megadrupal.com/html/gofar/destinations-grid.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-grid.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:39	22534/22534	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:09%20GMT	http://envato.megadrupal.com/html/gofar/destinations-trip.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-trip.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:42	22793/22793	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:02%20GMT	http://envato.megadrupal.com/html/gofar/destinations-hotel.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-hotel.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:43	20609/20609	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:52%20GMT	http://envato.megadrupal.com/html/gofar/destinations-attraction.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-attraction.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:45	23398/23398	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:55%20GMT	http://envato.megadrupal.com/html/gofar/destinations-flight.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-flight.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:46	23434/23434	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:07%20GMT	http://envato.megadrupal.com/html/gofar/destinations-train.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-train.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:48	23905/23905	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:04%20GMT	http://envato.megadrupal.com/html/gofar/destinations-list-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-list-dark.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:48	21703/21703	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:30:57%20GMT	http://envato.megadrupal.com/html/gofar/destinations-grid-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-grid-dark.html	(from http://envato.megadrupal.com/html/gofar/)
21:26:59	22582/22582	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202015%2018:31:08%20GMT	http://envato.megadrupal.com/html/gofar/destinations-trip-dark.html	C:/My%20Web%20Sites/myproject/envato.megadrupal.com/html/gofar/destinations-trip-dark.html	(from http://envato.megadrupal.com/html/gofar/)
